UTLA code,UTLA name,"Rate per 100,000 population"
E06000051,Barking and Dagenham,14.2
E06000052,Barnet,11.0
E06000053,Barnsley,22.0
E06000054,Bath and North East Somerset,5.2
E06000055,Bedford,5.2
E09000004,Bexley,4.9
E08000025,Birmingham,28.9
E06000008,Blackburn with Darwen,75.9
E06000009,Blackpool,10.1
E08000001,Bolton,21.7
E06000058,"Bournemouth, Christchurch and Poole",4.0
E06000036,Bracknell Forest,6.6
E08000032,Bradford,53.4
E09000005,Brent,9.7
E06000043,Brighton and Hove,3.4
E06000023,"Bristol, City of",8.6
E09000006,Bromley,7.3
E10000002,Buckinghamshire,7.6
E08000002,Bury,33.1
E08000033,Calderdale,35.7
E10000003,Cambridgeshire,5.8
E09000007,Camden,8.4
E06000056,Central Bedfordshire,7.4
E06000049,Cheshire East,10.0
E06000050,Cheshire West and Chester,6.2
E06000052,Cornwall and Isles of Scilly,1.9
E06000047,County Durham,7.4
E08000026,Coventry,21.5
E09000008,Croydon,4.4
E10000006,Cumbria,10.8
E06000005,Darlington,1.9
E06000015,Derby,5.4
E10000007,Derbyshire,4.5
E10000008,Devon,1.5
E08000017,Doncaster,3.2
E06000059,Dorset,2.7
E08000027,Dudley,5.6
E09000009,Ealing,10.5
E06000011,East Riding of Yorkshire,4.1
E10000011,East Sussex,4.9
E09000010,Enfield,5.7
E10000012,Essex,4.1
E08000037,Gateshead,8.4
E10000013,Gloucestershire,3.5
E09000011,Greenwich,4.5
E09000012/E09000001,Hackney and City of London,13.2
E06000006,Halton,9.3
E09000013,Hammersmith and Fulham,15.1
E10000014,Hampshire,3.7
E09000014,Haringey,9.6
E09000015,Harrow,8.0
E06000001,Hartlepool,7.5
E09000016,Havering,6.6
E06000019,"Herefordshire, County of",5.2
E10000015,Hertfordshire,7.0
E09000017,Hillingdon,13.5
E09000018,Hounslow,18.1
E06000046,Isle of Wight,1.4
E09000019,Islington,3.4
E09000020,Kensington and Chelsea,11.5
E10000016,Kent,4.0
E06000010,"Kingston upon Hull, City of",6.9
E09000021,Kingston upon Thames,13.7
E08000034,Kirklees,34.9
E08000011,Knowsley,10.0
E09000022,Lambeth,8.3
E10000017,Lancashire,17.3
E08000035,Leeds,16.2
E06000016,Leicester,44.8
E10000018,Leicestershire,11.0
E09000023,Lewisham,5.6
E10000019,Lincolnshire,4.6
E08000012,Liverpool,11.5
E06000032,Luton,14.0
E08000003,Manchester,47.8
E06000035,Medway,1.1
E09000024,Merton,9.7
E06000002,Middlesbrough,17.8
E06000042,Milton Keynes,7.8
E08000021,Newcastle upon Tyne,15.7
E09000025,Newham,10.5
E10000020,Norfolk,3.1
E06000012,North East Lincolnshire,6.3
E06000013,North Lincolnshire,2.9
E06000024,North Somerset,2.3
E08000022,North Tyneside,6.8
E10000023,North Yorkshire,7.5
E10000021,Northamptonshire,44.7
E06000057,Northumberland,5.9
E06000018,Nottingham,9.7
E10000024,Nottinghamshire,10.3
E08000004,Oldham,83.2
E10000025,Oxfordshire,9.8
E06000031,Peterborough,11.9
E06000026,Plymouth,2.7
E06000044,Portsmouth,2.8
E06000038,Reading,6.1
E09000026,Redbridge,6.3
E06000003,Redcar and Cleveland,5.1
E09000027,Richmond upon Thames,19.3
E08000005,Rochdale,35.0
E08000018,Rotherham,18.5
E06000017,Rutland,12.6
E08000006,Salford,36.6
E08000028,Sandwell,22.6
E08000014,Sefton,12.4
E08000019,Sheffield,16.7
E06000051,Shropshire,5.9
E06000039,Slough,16.1
E08000029,Solihull,8.4
E10000027,Somerset,2.7
E06000025,South Gloucestershire,2.5
E08000023,South Tyneside,2.7
E06000045,Southampton,4.8
E06000033,Southend-on-Sea,4.4
E09000028,Southwark,11.0
E08000013,St. Helens,8.3
E10000028,Staffordshire,5.3
E08000007,Stockport,18.9
E06000004,Stockton-on-Tees,4.1
E06000021,Stoke-on-Trent,21.1
E10000029,Suffolk,2.8
E08000024,Sunderland,7.6
E10000030,Surrey,8.0
E09000029,Sutton,2.9
E06000030,Swindon,42.3
E08000008,Tameside,26.6
E06000020,Telford and Wrekin,15.2
E06000034,Thurrock,7.0
E06000027,Torbay,0.7
E09000030,Tower Hamlets,7.2
E08000009,Trafford,25.0
E08000036,Wakefield,20.6
E08000030,Walsall,15.5
E09000031,Waltham Forest,13.4
E09000032,Wandsworth,10.4
E06000007,Warrington,5.7
E10000031,Warwickshire,7.2
E06000037,West Berkshire,5.7
E10000032,West Sussex,3.7
E09000033,Westminster,7.4
E08000010,Wigan,9.8
E06000054,Wiltshire,5.4
E06000040,Windsor and Maidenhead,8.0
E08000015,Wirral,4.6
E06000041,Wokingham,2.4
E08000031,Wolverhampton,18.3
E10000034,Worcestershire,5.9
E06000014,York,3.3
