UTLA code,UTLA name,"Rate per 100,000 population"
E09000002,Barking and Dagenham,32.1
E09000003,Barnet,18.1
E08000016,Barnsley,28.6
E06000022,Bath and North East Somerset,13.5
E06000055,Bedford,23.9
E09000004,Bexley,16.6
E08000025,Birmingham,102.2
E06000008,Blackburn with Darwen,167.2
E06000009,Blackpool,63.9
E08000001,Bolton,200.8
E06000058,"Bournemouth, Christchurch and Poole",15.4
E06000036,Bracknell Forest,12.3
E08000032,Bradford,116.4
E09000005,Brent,20.6
E06000043,Brighton and Hove,9.6
E06000023,"Bristol, City of",15.3
E09000006,Bromley,13.0
E10000002,Buckinghamshire,13.2
E08000002,Bury,157.3
E08000033,Calderdale,53.8
E10000003,Cambridgeshire,11.5
E09000007,Camden,62.9
E06000056,Central Bedfordshire,20.1
E06000049,Cheshire East,31.8
E06000050,Cheshire West and Chester,36.1
E06000052,Cornwall and Isles of Scilly,17.4
E06000047,County Durham,58.6
E08000026,Coventry,43.4
E09000008,Croydon,10.9
E10000006,Cumbria,22.3
E06000005,Darlington,29.1
E06000015,Derby,26.4
E10000007,Derbyshire,22.5
E10000008,Devon,5.8
E08000017,Doncaster,40.3
E06000059,Dorset,5.1
E08000027,Dudley,33.7
E09000009,Ealing,20.8
E06000011,East Riding of Yorkshire,18.3
E10000011,East Sussex,4.9
E09000010,Enfield,22.5
E10000012,Essex,13.5
E08000037,Gateshead,111.1
E10000013,Gloucestershire,8.8
E09000011,Greenwich,11.2
E09000012/E09000001,Hackney and City of London,20.5
E06000006,Halton,159.6
E09000013,Hammersmith and Fulham,18.3
E10000014,Hampshire,8.1
E09000014,Haringey,20.0
E09000015,Harrow,20.8
E06000001,Hartlepool,75.1
E09000016,Havering,27.2
E06000019,"Herefordshire, County of",7.3
E10000015,Hertfordshire,20.7
E09000017,Hillingdon,25.3
E09000018,Hounslow,20.7
E06000046,Isle of Wight,0.7
E09000019,Islington,21.7
E09000020,Kensington and Chelsea,18.6
E10000016,Kent,7.5
E06000010,"Kingston upon Hull, City of",11.9
E09000021,Kingston upon Thames,13.7
E08000034,Kirklees,79.1
E08000011,Knowsley,161.1
E09000022,Lambeth,21.8
E10000017,Lancashire,87.9
E08000035,Leeds,86.9
E06000016,Leicester,94.3
E10000018,Leicestershire,32.7
E09000023,Lewisham,16.5
E10000019,Lincolnshire,14.4
E08000012,Liverpool,158.7
E06000032,Luton,35.5
E08000003,Manchester,147.6
E06000035,Medway,7.9
E09000024,Merton,10.7
E06000002,Middlesbrough,49.1
E06000042,Milton Keynes,14.5
E08000021,Newcastle upon Tyne,156.6
E09000025,Newham,27.8
E10000020,Norfolk,8.3
E06000012,North East Lincolnshire,9.4
E06000013,North Lincolnshire,19.8
E06000024,North Somerset,20.6
E08000022,North Tyneside,89.3
E10000023,North Yorkshire,30.8
E10000021,Northamptonshire,15.5
E06000057,Northumberland,79.9
E06000018,Nottingham,35.9
E10000024,Nottinghamshire,19.1
E08000004,Oldham,144.7
E10000025,Oxfordshire,11.9
E06000031,Peterborough,12.9
E06000026,Plymouth,13.3
E06000044,Portsmouth,13.9
E06000038,Reading,8.0
E09000026,Redbridge,39.8
E06000003,Redcar and Cleveland,30.7
E09000027,Richmond upon Thames,11.2
E08000005,Rochdale,123.6
E08000018,Rotherham,45.3
E06000017,Rutland,10.1
E08000006,Salford,126.6
E08000028,Sandwell,74.5
E08000014,Sefton,102.0
E08000019,Sheffield,44.8
E06000051,Shropshire,16.6
E06000039,Slough,20.1
E08000029,Solihull,60.5
E10000027,Somerset,4.3
E06000025,South Gloucestershire,13.8
E08000023,South Tyneside,177.7
E06000045,Southampton,12.3
E06000033,Southend-on-Sea,14.8
E09000028,Southwark,24.3
E08000013,St. Helens,110.0
E10000028,Staffordshire,25.0
E08000007,Stockport,65.5
E06000004,Stockton-on-Tees,46.1
E06000021,Stoke-on-Trent,33.6
E10000029,Suffolk,6.2
E08000024,Sunderland,121.8
E10000030,Surrey,9.8
E09000029,Sutton,11.3
E06000030,Swindon,7.2
E08000008,Tameside,119.0
E06000020,Telford and Wrekin,18.6
E06000034,Thurrock,11.0
E06000027,Torbay,7.4
E09000030,Tower Hamlets,33.4
E08000009,Trafford,57.5
E08000036,Wakefield,37.4
E08000030,Walsall,55.8
E09000031,Waltham Forest,25.7
E09000032,Wandsworth,17.8
E06000007,Warrington,103.6
E10000031,Warwickshire,29.6
E06000037,West Berkshire,10.1
E10000032,West Sussex,11.4
E09000033,Westminster,18.4
E08000010,Wigan,102.1
E06000054,Wiltshire,7.8
E06000040,Windsor and Maidenhead,17.2
E08000015,Wirral,121.3
E06000041,Wokingham,6.6
E08000031,Wolverhampton,54.2
E10000034,Worcestershire,16.7
E06000014,York,34.3
