UTLA code,UTLA name,"Rate per 100,000 population"
E09000002,Barking and Dagenham,12.3
E09000003,Barnet,15.1
E08000016,Barnsley,7.3
E06000022,Bath and North East Somerset,7.8
E06000055,Bedford,13.4
E09000004,Bexley,10.5
E08000025,Birmingham,28.5
E06000008,Blackburn with Darwen,48.3
E06000009,Blackpool,7.9
E08000001,Bolton,66.6
E06000058,"Bournemouth, Christchurch and Poole",6.6
E06000036,Bracknell Forest,6.6
E08000032,Bradford,49.5
E09000005,Brent,11.2
E06000043,Brighton and Hove,8.3
E06000023,"Bristol, City of",9.1
E09000006,Bromley,7.9
E10000002,Buckinghamshire,12.4
E08000002,Bury,26.8
E08000033,Calderdale,19.5
E10000003,Cambridgeshire,6.5
E09000007,Camden,12.2
E06000056,Central Bedfordshire,7.4
E06000049,Cheshire East,10.0
E06000050,Cheshire West and Chester,6.8
E06000052,Cornwall and Isles of Scilly,1.8
E06000047,County Durham,11.6
E08000026,Coventry,16.6
E09000008,Croydon,8.3
E10000006,Cumbria,5.0
E06000005,Darlington,10.3
E06000015,Derby,5.4
E10000007,Derbyshire,5.8
E10000008,Devon,4.7
E08000017,Doncaster,2.6
E06000059,Dorset,2.1
E08000027,Dudley,9.4
E09000009,Ealing,11.4
E06000011,East Riding of Yorkshire,4.1
E10000011,East Sussex,6.0
E09000010,Enfield,10.8
E10000012,Essex,7.4
E08000037,Gateshead,15.3
E10000013,Gloucestershire,6.6
E09000011,Greenwich,11.5
E09000012/E09000001,Hackney and City of London,16.0
E06000006,Halton,7.0
E09000013,Hammersmith and Fulham,18.3
E10000014,Hampshire,6.2
E09000014,Haringey,8.1
E09000015,Harrow,18.4
E06000001,Hartlepool,13.9
E09000016,Havering,13.6
E06000019,"Herefordshire, County of",2.1
E10000015,Hertfordshire,14.8
E09000017,Hillingdon,10.8
E09000018,Hounslow,11.1
E06000046,Isle of Wight,2.1
E09000019,Islington,9.2
E09000020,Kensington and Chelsea,23.7
E10000016,Kent,4.8
E06000010,"Kingston upon Hull, City of",3.1
E09000021,Kingston upon Thames,13.7
E08000034,Kirklees,27.6
E08000011,Knowsley,10.7
E09000022,Lambeth,16.0
E10000017,Lancashire,19.7
E08000035,Leeds,30.5
E06000016,Leicester,24.5
E10000018,Leicestershire,8.7
E09000023,Lewisham,6.9
E10000019,Lincolnshire,4.1
E08000012,Liverpool,15.0
E06000032,Luton,9.3
E08000003,Manchester,41.3
E06000035,Medway,2.9
E09000024,Merton,4.4
E06000002,Middlesbrough,26.3
E06000042,Milton Keynes,5.6
E08000021,Newcastle upon Tyne,16.0
E09000025,Newham,10.8
E10000020,Norfolk,13.2
E06000012,North East Lincolnshire,3.1
E06000013,North Lincolnshire,7.0
E06000024,North Somerset,9.4
E08000022,North Tyneside,10.7
E10000023,North Yorkshire,6.7
E10000021,Northamptonshire,19.4
E06000057,Northumberland,8.4
E06000018,Nottingham,9.1
E10000024,Nottinghamshire,7.5
E08000004,Oldham,57.7
E10000025,Oxfordshire,7.6
E06000031,Peterborough,19.9
E06000026,Plymouth,11.8
E06000044,Portsmouth,6.5
E06000038,Reading,12.9
E09000026,Redbridge,11.2
E06000003,Redcar and Cleveland,21.9
E09000027,Richmond upon Thames,13.7
E08000005,Rochdale,40.9
E08000018,Rotherham,10.2
E06000017,Rutland,15.1
E08000006,Salford,36.2
E08000028,Sandwell,26.3
E08000014,Sefton,13.8
E08000019,Sheffield,14.6
E06000051,Shropshire,7.5
E06000039,Slough,10.1
E08000029,Solihull,9.3
E10000027,Somerset,3.9
E06000025,South Gloucestershire,8.9
E08000023,South Tyneside,45.3
E06000045,Southampton,7.9
E06000033,Southend-on-Sea,11.5
E09000028,Southwark,10.1
E08000013,St. Helens,6.7
E10000028,Staffordshire,10.6
E08000007,Stockport,9.6
E06000004,Stockton-on-Tees,12.7
E06000021,Stoke-on-Trent,14.1
E10000029,Suffolk,4.5
E08000024,Sunderland,8.3
E10000030,Surrey,10.9
E09000029,Sutton,4.9
E06000030,Swindon,20.3
E08000008,Tameside,37.3
E06000020,Telford and Wrekin,3.4
E06000034,Thurrock,5.2
E06000027,Torbay,3.0
E09000030,Tower Hamlets,15.1
E08000009,Trafford,36.8
E08000036,Wakefield,11.0
E08000030,Walsall,9.2
E09000031,Waltham Forest,12.3
E09000032,Wandsworth,17.5
E06000007,Warrington,11.5
E10000031,Warwickshire,5.3
E06000037,West Berkshire,6.9
E10000032,West Sussex,5.2
E09000033,Westminster,12.9
E08000010,Wigan,12.3
E06000054,Wiltshire,3.2
E06000040,Windsor and Maidenhead,13.3
E08000015,Wirral,24.4
E06000041,Wokingham,7.7
E08000031,Wolverhampton,12.6
E10000034,Worcestershire,6.8
E06000014,York,7.2
