UTLA code,UTLA name,"Rate per 100,000 population"
E09000002,Barking and Dagenham,52.8
E09000003,Barnet,32.9
E08000016,Barnsley,47.3
E06000022,Bath and North East Somerset,25.5
E06000055,Bedford,39.6
E09000004,Bexley,19.0
E08000025,Birmingham,119.9
E06000008,Blackburn with Darwen,135.0
E06000009,Blackpool,62.5
E08000001,Bolton,180.1
E06000058,"Bournemouth, Christchurch and Poole",20.0
E06000036,Bracknell Forest,20.6
E08000032,Bradford,138.9
E09000005,Brent,40.2
E06000043,Brighton and Hove,12.4
E06000023,"Bristol, City of",20.7
E09000006,Bromley,19.3
E10000002,Buckinghamshire,18.0
E08000002,Bury,166.8
E08000033,Calderdale,74.7
E10000003,Cambridgeshire,12.9
E09000007,Camden,18.7
E06000056,Central Bedfordshire,19.0
E06000049,Cheshire East,48.1
E06000050,Cheshire West and Chester,57.9
E06000052,Cornwall and Isles of Scilly,31.2
E06000047,County Durham,88.2
E08000026,Coventry,62.2
E09000008,Croydon,20.5
E10000006,Cumbria,40.7
E06000005,Darlington,90.1
E06000015,Derby,27.6
E10000007,Derbyshire,31.9
E10000008,Devon,15.1
E08000017,Doncaster,40.3
E06000059,Dorset,7.7
E08000027,Dudley,44.6
E09000009,Ealing,42.7
E06000011,East Riding of Yorkshire,37.7
E10000011,East Sussex,10.3
E09000010,Enfield,34.2
E10000012,Essex,20.0
E08000037,Gateshead,129.4
E10000013,Gloucestershire,13.9
E09000011,Greenwich,28.3
E09000012/E09000001,Hackney and City of London,35.7
E06000006,Halton,195.4
E09000013,Hammersmith and Fulham,36.1
E10000014,Hampshire,12.4
E09000014,Haringey,27.3
E09000015,Harrow,30.8
E06000001,Hartlepool,110.5
E09000016,Havering,45.8
E06000019,"Herefordshire, County of",11.5
E10000015,Hertfordshire,23.4
E09000017,Hillingdon,45.6
E09000018,Hounslow,49.5
E06000046,Isle of Wight,4.2
E09000019,Islington,34.7
E09000020,Kensington and Chelsea,19.2
E10000016,Kent,12.1
E06000010,"Kingston upon Hull, City of",23.8
E09000021,Kingston upon Thames,26.2
E08000034,Kirklees,91.4
E08000011,Knowsley,246.7
E09000022,Lambeth,29.5
E10000017,Lancashire,122.1
E08000035,Leeds,119.9
E06000016,Leicester,88.7
E10000018,Leicestershire,37.8
E09000023,Lewisham,20.8
E10000019,Lincolnshire,20.5
E08000012,Liverpool,239.3
E06000032,Luton,53.7
E08000003,Manchester,200.3
E06000035,Medway,13.3
E09000024,Merton,20.9
E06000002,Middlesbrough,116.0
E06000042,Milton Keynes,18.2
E08000021,Newcastle upon Tyne,250.5
E09000025,Newham,49.2
E10000020,Norfolk,13.0
E06000012,North East Lincolnshire,25.7
E06000013,North Lincolnshire,36.1
E06000024,North Somerset,20.1
E08000022,North Tyneside,126.2
E10000023,North Yorkshire,52.6
E10000021,Northamptonshire,19.0
E06000057,Northumberland,143.6
E06000018,Nottingham,62.2
E10000024,Nottinghamshire,35.7
E08000004,Oldham,150.2
E10000025,Oxfordshire,17.2
E06000031,Peterborough,24.4
E06000026,Plymouth,16.3
E06000044,Portsmouth,23.2
E06000038,Reading,23.3
E09000026,Redbridge,56.6
E06000003,Redcar and Cleveland,60.7
E09000027,Richmond upon Thames,28.4
E08000005,Rochdale,150.9
E08000018,Rotherham,72.9
E06000017,Rutland,27.7
E08000006,Salford,146.2
E08000028,Sandwell,90.1
E08000014,Sefton,167.0
E08000019,Sheffield,82.9
E06000051,Shropshire,28.7
E06000039,Slough,61.0
E08000029,Solihull,74.5
E10000027,Somerset,10.4
E06000025,South Gloucestershire,16.6
E08000023,South Tyneside,165.7
E06000045,Southampton,14.2
E06000033,Southend-on-Sea,26.3
E09000028,Southwark,34.4
E08000013,St. Helens,200.0
E10000028,Staffordshire,30.3
E08000007,Stockport,76.8
E06000004,Stockton-on-Tees,86.2
E06000021,Stoke-on-Trent,39.5
E10000029,Suffolk,6.1
E08000024,Sunderland,172.7
E10000030,Surrey,21.1
E09000029,Sutton,20.5
E06000030,Swindon,14.4
E08000008,Tameside,133.2
E06000020,Telford and Wrekin,31.5
E06000034,Thurrock,21.5
E06000027,Torbay,11.8
E09000030,Tower Hamlets,46.3
E08000009,Trafford,105.8
E08000036,Wakefield,66.1
E08000030,Walsall,66.0
E09000031,Waltham Forest,39.0
E09000032,Wandsworth,29.1
E06000007,Warrington,155.1
E10000031,Warwickshire,31.4
E06000037,West Berkshire,17.0
E10000032,West Sussex,15.7
E09000033,Westminster,24.7
E08000010,Wigan,125.4
E06000054,Wiltshire,10.6
E06000040,Windsor and Maidenhead,23.2
E08000015,Wirral,142.3
E06000041,Wokingham,25.0
E08000031,Wolverhampton,70.2
E10000034,Worcestershire,35.0
E06000014,York,49.1
