UTLA code,UTLA name,"Rate per 100,000 population"
E09000002,Barking and Dagenham,28.8
E09000003,Barnet,23.5
E08000016,Barnsley,26.9
E06000022,Bath and North East Somerset,13.0
E06000055,Bedford,12.8
E09000004,Bexley,8.5
E08000025,Birmingham,67.2
E06000008,Blackburn with Darwen,59.8
E06000009,Blackpool,18.0
E08000001,Bolton,122.0
E06000058,"Bournemouth, Christchurch and Poole",14.2
E06000036,Bracknell Forest,16.4
E08000032,Bradford,69.8
E09000005,Brent,14.5
E06000043,Brighton and Hove,10.3
E06000023,"Bristol, City of",14.7
E09000006,Bromley,14.2
E10000002,Buckinghamshire,11.1
E08000002,Bury,56.3
E08000033,Calderdale,36.2
E10000003,Cambridgeshire,6.0
E09000007,Camden,11.4
E06000056,Central Bedfordshire,8.5
E06000049,Cheshire East,20.5
E06000050,Cheshire West and Chester,17.0
E06000052,Cornwall and Isles of Scilly,3.7
E06000047,County Durham,26.0
E08000026,Coventry,22.1
E09000008,Croydon,15.8
E10000006,Cumbria,11.4
E06000005,Darlington,12.2
E06000015,Derby,13.6
E10000007,Derbyshire,12.8
E10000008,Devon,6.3
E08000017,Doncaster,9.3
E06000059,Dorset,9.6
E08000027,Dudley,17.5
E09000009,Ealing,19.3
E06000011,East Riding of Yorkshire,9.1
E10000011,East Sussex,7.8
E09000010,Enfield,18.9
E10000012,Essex,8.3
E08000037,Gateshead,48.4
E10000013,Gloucestershire,6.0
E09000011,Greenwich,11.2
E09000012/E09000001,Hackney and City of London,17.0
E06000006,Halton,26.5
E09000013,Hammersmith and Fulham,22.7
E10000014,Hampshire,8.4
E09000014,Haringey,19.2
E09000015,Harrow,24.0
E06000001,Hartlepool,42.9
E09000016,Havering,26.4
E06000019,"Herefordshire, County of",9.9
E10000015,Hertfordshire,17.6
E09000017,Hillingdon,18.7
E09000018,Hounslow,24.0
E06000046,Isle of Wight,5.0
E09000019,Islington,18.0
E09000020,Kensington and Chelsea,28.8
E10000016,Kent,7.3
E06000010,"Kingston upon Hull, City of",6.5
E09000021,Kingston upon Thames,13.7
E08000034,Kirklees,37.8
E08000011,Knowsley,37.4
E09000022,Lambeth,20.6
E10000017,Lancashire,32.6
E08000035,Leeds,54.7
E06000016,Leicester,49.3
E10000018,Leicestershire,23.1
E09000023,Lewisham,15.2
E10000019,Lincolnshire,13.5
E08000012,Liverpool,44.5
E06000032,Luton,21.5
E08000003,Manchester,61.0
E06000035,Medway,6.1
E09000024,Merton,11.2
E06000002,Middlesbrough,40.6
E06000042,Milton Keynes,11.2
E08000021,Newcastle upon Tyne,40.3
E09000025,Newham,27.6
E10000020,Norfolk,7.3
E06000012,North East Lincolnshire,6.9
E06000013,North Lincolnshire,8.1
E06000024,North Somerset,23.4
E08000022,North Tyneside,31.1
E10000023,North Yorkshire,22.6
E10000021,Northamptonshire,23.8
E06000057,Northumberland,19.4
E06000018,Nottingham,24.2
E10000024,Nottinghamshire,17.7
E08000004,Oldham,53.1
E10000025,Oxfordshire,13.8
E06000031,Peterborough,22.4
E06000026,Plymouth,9.9
E06000044,Portsmouth,7.0
E06000038,Reading,16.5
E09000026,Redbridge,29.3
E06000003,Redcar and Cleveland,21.2
E09000027,Richmond upon Thames,15.7
E08000005,Rochdale,60.5
E08000018,Rotherham,20.4
E06000017,Rutland,2.5
E08000006,Salford,62.5
E08000028,Sandwell,30.9
E08000014,Sefton,30.5
E08000019,Sheffield,29.0
E06000051,Shropshire,9.1
E06000039,Slough,18.8
E08000029,Solihull,53.5
E10000027,Somerset,6.4
E06000025,South Gloucestershire,10.6
E08000023,South Tyneside,50.6
E06000045,Southampton,4.4
E06000033,Southend-on-Sea,10.4
E09000028,Southwark,17.7
E08000013,St. Helens,32.2
E10000028,Staffordshire,16.9
E08000007,Stockport,24.3
E06000004,Stockton-on-Tees,19.8
E06000021,Stoke-on-Trent,25.4
E10000029,Suffolk,7.5
E08000024,Sunderland,59.8
E10000030,Surrey,15.6
E09000029,Sutton,10.3
E06000030,Swindon,13.1
E08000008,Tameside,65.7
E06000020,Telford and Wrekin,11.3
E06000034,Thurrock,11.6
E06000027,Torbay,7.4
E09000030,Tower Hamlets,23.0
E08000009,Trafford,27.9
E08000036,Wakefield,20.9
E08000030,Walsall,20.5
E09000031,Waltham Forest,13.0
E09000032,Wandsworth,16.5
E06000007,Warrington,43.0
E10000031,Warwickshire,13.8
E06000037,West Berkshire,8.8
E10000032,West Sussex,12.2
E09000033,Westminster,16.8
E08000010,Wigan,28.2
E06000054,Wiltshire,14.5
E06000040,Windsor and Maidenhead,15.2
E08000015,Wirral,47.6
E06000041,Wokingham,10.1
E08000031,Wolverhampton,29.4
E10000034,Worcestershire,15.2
E06000014,York,12.9
